,ResponseID,Don't bypass your boss upward ( IVT 1 ),Presumed Target Identification ( IVT 2 ),Don't embarass the boss publicly ( IVT 3 ),Negative career consequences of voice         ( IVT 4 ),Constructive Voice Behavior ,Power Distance,Collectivist,Resistance to change,Core Self Evaluation Scale,Openess to change,Age,Gender,Level of education,No of countries you have lived in for at least more than 12 months,Where were these countries located?-Asia ( including India ),Where were these countries located?-Europe & Australia,Where were these countries located?-Latin America,Where were these countries located?-North America,Where were these countries located?-Africa,Please list the countries where you have lived in for at least more / than 12 months,Are you a manager ( do you have people reporting to you )?,How long have you worked for your current organisation?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,R_2qCwxgVOaUtjlw3,5.25,3.25,4.5,4.5,5.8,3.2,3.33,3.94,5.00,7.75,2,2,3,5,1,,,,1,"Kenya, UK, Malaysia ",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,R_2Cwyh9OaysmfcO6,2,4.5,6,2.25,6,3.2,5.33,3.47,4.17,7.50,4,2,4,2,,1,,,1,"UK (Scotland), Kenya",1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,R_ZsJ1EkMtRr0Z7jj,2.75,2.25,4.25,4.5,6,3.2,3.83,2.59,5.08,5.88,3,2,4,5,1,1,,1,,"usa, switzerland, france, singapore, UAE",1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,R_R3MnTwKnjXrbrHP,3,2.5,6.75,1.5,7,1.8,3.50,2.12,3.92,7.63,1,2,3,1,,,,,1,KENYA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,R_sXpCYOZwz9lBGwh,1.5,2,3,1.25,6,1,4.67,2.53,5.50,8.00,2,2,3,1,,1,,,,UK,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,R_elFFRabvDcVTZE9,3,3.5,3.5,2,6.6,2,5.00,2.29,6.17,8.13,2,2,4,4,1,1,,,,"England, Thailand, Czech Republic, Switzerland",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,R_e5HPSQxPj5heGup,3,4.75,6,2.25,6,1.8,5.67,3.06,4.00,7.38,3,2,4,2,,1,,,1,Kenya and Australia,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,R_bEg3hPY9hLVMel7,2.75,4.25,5.75,3,6,4,5.67,2.88,4.92,5.88,2,2,4,1,,,1,,,"Buenos Aires, Argentina",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,R_3WdhiN6ba6KSKFL,5.5,4.5,5.5,3,5.8,2,4.33,4.12,5.92,5.50,2,1,4,1,,,1,,,Ecuador,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,R_8B16vNC4qD3sSuV,2,2,2,2,6,1,2.17,2.41,6.33,8.75,3,2,5,4,1,1,,1,,"Malaysia, Singapore, Australia, USA",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,R_1RqOaVurl6ye2PP,3.5,3.5,6.25,4,5.6,2,5.83,3.18,5.75,6.50,2,1,4,1,1,,,,,India,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,R_eVgIDV18oLyatbT,4.25,3.5,6.5,4.25,5.4,2.4,5.00,3.18,5.58,6.25,1,1,2,1,,1,,,,Croatia,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,R_4NJduxUr673Zui9,4.75,4.75,4,5.25,5.8,5.6,4.83,2.82,5.08,7.25,3,1,4,5,,1,,,1,Switzerland,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,R_6sP8UJAan2qzZCl,2.5,3.5,4.25,3.25,5.2,1.4,4.83,2.41,5.33,8.75,1,2,4,4,,1,,1,,"USA, ENGLAND, FRANCE, SWITZERLAND",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,R_3eoBbNnGqQDSKAh,5,5.25,4.25,3.5,5.6,2,3.00,4.06,4.17,5.50,1,2,3,1,,1,,,,Romania,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
