,ResponseID,Don't bypass your boss upward ( IVT 1 ),Presumed Target Identification ( IVT 2 ),Don't embarass the boss publicly ( IVT 3 ),Negative career consequences of voice         ( IVT 4 ),Constructive Voice Behavior ,Power Distance,Collectivist,Resistance to change,Core Self Evaluation Scale,Openess to change,Age,Gender,Level of education,No of countries you have lived in for at least more than 12 months,Where were these countries located?-Asia ( including India ),Where were these countries located?-Europe & Australia,Where were these countries located?-Latin America,Where were these countries located?-North America,Where were these countries located?-Africa,Please list the countries where you have lived in for at least more / than 12 months,Are you a manager ( do you have people reporting to you )?,How long have you worked for your current organisation?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,R_1OxfCGDPk8DMDa4,5,4.25,5.75,3.25,4.8,2.2,2.00,2.76,3.33,7.50,3,1,4,2,1,,,,,"Malaysia, China",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,R_5iDIhGa8K1wpI8d,4.5,3.75,4.75,2.25,5,3,4.00,3.59,5.42,7.13,2,1,4,3,,1,,,,"UK, Ireland, Australia",1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,R_cHKVCksx0OloEEB,4.75,3.75,6.5,3.5,5,3,5.50,4.29,3.42,5.50,2,1,4,1,,1,,,,UK,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,R_0rfTPgIRpokEkKh,5.25,3,4,4,5,2.8,5.00,2.88,5.67,7.13,3,1,3,1,,1,,,,Sweden,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,R_6XBbLmIhxsrDLAp,6.25,4.75,5,6.5,6,4,3.67,2.41,4.08,6.75,4,1,5,3,,1,,,1,"Mozambique, England, Switzerland",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,R_4OPRD1g4zROMGEJ,2,1,3.75,2.75,7,2,5.83,3.29,4.92,8.13,1,1,4,1,,,1,,,Mexico,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,R_0jGNEyloritHs3z,4.25,1.25,3.75,3.5,7,1,4.50,3.24,5.25,6.00,1,2,4,1,,,1,,,Brazil,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,R_dok1oM7XNr3AZIV,5,4.5,5.75,5.75,4.4,3.4,5.83,3.94,4.25,5.00,3,2,3,1,1,,,,,malaysia,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,R_2ygrCbjczYdFxxO,2,2,2,1.75,4.4,1.6,4.50,3.94,3.75,5.63,3,1,4,2,,1,,,,UK ; Switzerland,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,R_dfYN18dALTatjP7,2.75,4.25,4,5.75,4,1,5.50,3.71,5.00,6.13,3,1,3,2,,1,,,,"Germany, Switzerland",1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,R_b9saMm10RnvE0Op,2.25,3,5.75,3.75,6,1.6,4.33,3.82,4.33,7.00,1,2,4,1,1,,,,,Lebanon,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,R_25Y56UiuAzaDUup,2.75,1.75,4.5,2.25,5,2.6,4.67,3.06,6.08,6.75,3,1,5,5,1,1,,1,,"China, Netherlands, Germnay, Switzerland, US",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,R_eDLNZz9ncBfQuQ5,3.25,3,3.5,4,5.6,1,3.83,3.65,4.50,6.13,3,1,4,2,,1,,1,,USA Germany,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,R_eaCQ6WCiZPKDORv,3.75,3.75,2.75,2.25,6,1,5.50,3.94,4.08,4.88,3,2,2,2,,1,,,,"Germany, Switzerland",1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,R_3x77eUbTEqaxkJT,4.25,4.75,5.75,2.75,7,3,5.33,3.53,6.58,7.25,2,1,5,2,,1,,,,Ch,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,R_3gVz8MNHoNeenS5,3,5.25,3.25,2.25,7,1.4,5.33,2.71,5.75,7.50,2,1,4,3,,1,,,,"UK, Ireland, Germany",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,R_etFBgAO3ba0CIAd,5,3,5,3,5,4.2,5.83,3.94,4.42,6.13,3,1,1,1,1,,,,,Singapore,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,R_40gxfLjwfeHwNMN,3.25,3,3.5,3.25,4.2,4.2,4.83,4.12,5.50,4.88,3,1,4,4,,1,,1,,"Norway, USA, Germany, Switzerland",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,R_2xFTKbsq0tmJcg4,1.75,1.75,2,1.75,5,2.2,5.17,2.82,4.42,5.25,2,2,4,1,,1,,,,Australia,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,R_6rn1APRxssGN2O9,4,3.5,6,4.5,5,3.8,5.33,3.59,4.58,4.75,4,2,5,1,,1,,,,Germany,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,R_8raDTwy7qoRrX3D,4,1.5,3.25,5,5.6,3.8,6.67,3.47,6.00,6.63,3,2,4,3,,1,,1,,"United States, Germany, Finland",2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,R_2axZo11Hx70fm3j,3.25,4.25,5.75,2.5,7,2.2,4.83,2.00,6.33,7.00,1,1,4,1,,1,,,,france,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,R_0rHCMYAFnxqmlZn,2.75,4,2.75,2,6,2,4.33,3.35,5.08,6.25,3,2,3,2,,1,,1,,"USA, Spain",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,R_3n1vNjq3T8wz1PE,2,2.5,2.25,3.25,3.6,2,3.67,3.24,6.33,6.88,2,2,4,1,,1,,,,Australia,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,R_2OHWlDHf1tN1bsL,2.75,3.25,4,5,5,3.6,4.83,2.53,4.58,7.25,2,1,4,4,1,1,,1,,"France, UK, USA, Switzerland",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,R_9n6fmK9EXtNJlhb,5.25,2.75,5.25,3.75,4.4,3.6,4.50,3.59,5.58,5.63,4,2,3,2,,1,,,,"England, Germany",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,R_eDUyQ5fUfAG8Pwp,3.5,3,3.5,1.75,6,1.4,5.00,2.88,5.92,6.88,2,1,4,2,1,1,,,,"Turkey, Switzerland",2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,R_553D4pJ2dClLU8t,3.5,2.25,3.5,3.25,6,2.6,5.67,3.47,5.25,7.63,4,1,4,5,,,,1,1,"Saudi A. Lebanon, , UAE, Egypt, Canada",1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,R_2aB0Fd7rKPxPxaZ,5.25,5.5,6,4.75,7,1.6,4.33,2.65,3.83,6.38,1,2,3,2,,,,,1,Kenya,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,R_9ZVfYRzRAF9DSbb,4.5,3,4.5,2.5,5,2,6.00,4.53,5.25,6.75,3,1,4,3,1,,,,,"Malaysia, Singapore, Indonesia",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,R_DcrPhDqyqsXChix,3,4,4,4.25,5,2.4,3.67,2.47,4.33,9.00,3,2,2,2,,1,,1,,"U.S.A., Germany",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,R_3oT19zGy7htGNf7,4,3,4.75,3.5,5.6,2.4,3.17,4.24,5.17,7.25,4,2,4,2,,1,,1,,USA Germany,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,R_2TTwkqo7cIz8G7y,2.75,1.5,6.5,1.75,5.8,2.8,6.50,1.94,5.17,7.63,3,1,2,3,,1,,1,,"Canada, Germany, UK",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,R_eQI1aIntjE9ulJH,6.25,3,5.25,5,4.4,3.2,4.50,3.53,4.58,7.88,3,2,5,2,1,1,,,,"germany, indonesia",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,R_cx5bTyUbHHLAKIR,5.25,5.25,5.25,3.75,5.2,2.4,3.83,2.24,5.08,7.25,2,1,4,3,,1,,,1,"Ivory Coast, France, Switzerland",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,R_2ZBKeMikZoIxgLR,2.5,3,2.5,3.5,5.8,1.4,4.33,3.35,5.00,7.00,3,1,4,2,,1,,,,uk and Switzerland,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,R_5o1mKsFBvFzrM8p,5.75,3,6,3,3.4,3.4,4.33,6.00,5.67,3.25,3,2,4,1,,1,,,,Germany,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,R_3EKhwNmGg0zuJKX,3.25,5.25,5.5,4,5.2,2.4,5.33,3.47,5.25,7.50,1,1,1,1,,1,,,,Croatia,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,R_ewDRpt2hh75sw61,2,5,5.25,4.5,4.8,3,4.17,3.71,4.42,6.00,2,2,3,1,,1,,,,Croatia,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,R_8xnHbjwSblc5WQ9,5.25,1.75,6,2.5,5.8,2.4,2.33,3.29,5.67,5.50,3,2,3,1,,1,,,,Croatia,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,R_1IpmUjnjiEFkT5E,4.25,3.5,5.25,3.25,5.8,2.4,3.83,4.35,5.50,5.25,3,1,4,4,,1,,,,"Holland, Switzerland, Ireland, Germany",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,R_6yhtps18SLiajv7,7,5,6.5,5.75,5,2.6,5.33,4.82,4.67,5.88,4,1,4,2,,1,,,,UK & Switzerland,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,R_3UbJoltXBOUe2jj,3.5,4.75,5.25,6,6,1,5.33,3.35,4.50,7.25,3,1,4,2,,1,,,,Italy,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,R_bayLB3HtvCml8c5,2.25,2,4.5,2.25,5.6,3.6,4.50,3.00,4.58,4.75,2,2,3,2,1,1,,,,"Malaysia, UK",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,R_3lLEAMrvIvcUGNv,6,6,6.25,3.75,5.4,1.8,4.17,3.41,3.58,5.00,1,2,3,1,,1,,,,Russia,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,R_2EE4O4qi8i0VPuq,1.75,5,3,5,6,1,5.33,2.12,4.67,7.38,3,1,5,4,,1,,1,,"Canada, Denmark, France, Switzerland",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,R_2y7t7OmARLGhnqH,1.5,1.75,4.75,3,5.2,3.6,3.67,2.82,5.83,6.63,2,1,3,1,,1,,,,Romania,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,R_2SJ59ZCG53QNNS4,3.5,4,4.25,3.25,5.4,3,4.33,2.65,5.00,7.63,3,2,3,1,,1,,,,Germany,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,R_12Kovk0EAqherQo,6,3.75,6.25,3.75,5.6,3.2,3.33,3.65,5.17,6.88,1,2,2,1,,1,,,,Switzerland,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,R_egEPBsGVRufuUGV,6,5,5.75,6,6.6,2.8,4.33,2.47,4.42,9.00,3,1,3,2,1,1,,,,"Hong Kong, Australia",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
