ResponseID,Constructive Voice Behaviour  ,Power distance,Resistance to Change,Core Self Evaluation ,Openness to Change,Age,Gender,Level of education,Are you a manager ( do you have people reporting to you )?,,,,,
R_3oT19zGy7htGNf7,5.6,2.4,4.24,5.17,7.25,51-60 years,Female,Postgraduate Diploma / Masters,NO,,,,,
R_2TTwkqo7cIz8G7y,5.8,2.8,1.94,5.17,7.625,41-50 years,Male,Diploma,YES,,,,,
R_eQI1aIntjE9ulJH,4.4,3.2,3.53,4.58,7.875,41-50 years,Female,PhD,NO,,,,,
R_cx5bTyUbHHLAKIR,5.2,2.4,2.24,5.08,7.25,31-40 years,Male,Postgraduate Diploma / Masters,NO,,,,,
R_2ZBKeMikZoIxgLR,5.8,1.4,3.35,5.00,7,41-50 years,Male,Postgraduate Diploma / Masters,NO,,,,,
R_5o1mKsFBvFzrM8p,3.4,3.4,6.00,5.67,3.25,41-50 years,Female,Postgraduate Diploma / Masters,NO,,,,,
R_3EKhwNmGg0zuJKX,5.2,2.4,3.47,5.25,7.5,21-30 years,Male,High School / Secondary School,NO,,,,,
R_ewDRpt2hh75sw61,4.8,3,3.71,4.42,6,31-40 years,Female,Bachelor Degree,NO,,,,,
R_8xnHbjwSblc5WQ9,5.8,2.4,3.29,5.67,5.5,41-50 years,Female,Bachelor Degree,NO,,,,,
R_1IpmUjnjiEFkT5E,5.8,2.4,4.35,5.50,5.25,41-50 years,Male,Postgraduate Diploma / Masters,YES,,,,,
R_6yhtps18SLiajv7,5,2.6,4.82,4.67,5.875,51-60 years,Male,Postgraduate Diploma / Masters,NO,,,,,
R_3UbJoltXBOUe2jj,6,1,3.35,4.50,7.25,41-50 years,Male,Postgraduate Diploma / Masters,YES,,,,,
R_bayLB3HtvCml8c5,5.6,3.6,3.00,4.58,4.75,31-40 years,Female,Bachelor Degree,YES,,,,,
R_3lLEAMrvIvcUGNv,5.4,1.8,3.41,3.58,5,21-30 years,Female,Bachelor Degree,NO,,,,,
R_2EE4O4qi8i0VPuq,6,1,2.12,4.67,7.375,41-50 years,Male,PhD,NO,,,,,
R_2y7t7OmARLGhnqH,5.2,3.6,2.82,5.83,6.625,31-40 years,Male,Bachelor Degree,YES,,,,,
R_2SJ59ZCG53QNNS4,5.4,3,2.65,5.00,7.625,41-50 years,Female,Bachelor Degree,NO,,,,,
R_12Kovk0EAqherQo,5.6,3.2,3.65,5.17,6.875,21-30 years,Female,Diploma,NO,,,,,
R_egEPBsGVRufuUGV,6.6,2.8,2.47,4.42,9,41-50 years,Male,Bachelor Degree,NO,,,,,
R_1Csa4z6OLpD2blp,6,2.2,4.06,5.08,7,41-50 years,Female,Postgraduate Diploma / Masters,NO,,,,,
R_3sjDl33BN4HkKuM,2,2.6,5.00,2.83,5.5,21-30 years,Female,Bachelor Degree,NO,,,,,
R_1gBc3uvafgowUaq,7,1.6,2.76,3.92,7.75,21-30 years,Male,Diploma,NO,,,,,
R_x0mGMsVzgtWGKdP,5.4,1,3.06,5.25,7.375,51-60 years,Male,Bachelor Degree,NO,,,,,
R_e5LhTA0KLySBPjD,6,1.2,3.59,5.08,4.25,41-50 years,Female,Postgraduate Diploma / Masters,YES,,,,,
R_33shvl0nMa6oAU1,6,2,2.65,5.42,6.875,41-50 years,Male,Bachelor Degree,YES,,,,,
R_6FE2FRnWnAWSy2h,5,3,2.18,5.50,6.875,21-30 years,Male,Postgraduate Diploma / Masters,NO,,,,,
R_afM87BBlj4hFBBP,5,3,3.71,4.50,5.75,41-50 years,Female,Bachelor Degree,YES,,,,,
R_1LTNWK0miT22HLW,7,2,2.00,3.75,6.25,31-40 years,Female,Diploma,YES,,,,,
R_0D6qvIePgqBMuMt,5,2.6,3.88,5.33,7.5,41-50 years,Male,Postgraduate Diploma / Masters,YES,,,,,
R_246Q9IoZldcWP1H,4.4,2.6,3.82,3.42,6.875,41-50 years,Male,Bachelor Degree,NO,,,,,
R_1UnzIR2fdUZMRTf,3.8,3,3.88,4.50,5.5,51-60 years,Female,Bachelor Degree,NO,,,,,
R_8GL1O0vXvupPwCp,4.6,2,3.65,4.50,6.125,31-40 years,Female,Postgraduate Diploma / Masters,YES,,,,,
R_79z3Xa8CH3ng1kp,6,2.6,3.06,4.83,5.625,51-60 years,Female,Postgraduate Diploma / Masters,YES,,,,,
R_2qCwxgVOaUtjlw3,5.8,3.2,3.94,5.00,7.75,31-40 years,Female,Bachelor Degree,YES,,,,,
R_2Cwyh9OaysmfcO6,6,3.2,3.47,4.17,7.5,51-60 years,Female,Postgraduate Diploma / Masters,YES,,,,,
R_ZsJ1EkMtRr0Z7jj,6,3.2,2.59,5.08,5.875,41-50 years,Female,Postgraduate Diploma / Masters,YES,,,,,
